,RollNumber,Name,exam-mid-35,exam-end-50,lab-basic01-20,lab-basic02-20,lab-basic03-20,asgn-basic01-15,asgn-basic02-15,asgn-basic03-15,asgn-basic04-15,oth-quiz01-30,oth-quiz02-30,oth-quiz03-30,fraud,overall,avgExam,avgLab,avgAsgn,avgOth,ChMarks,var,cheatflagged,temp,best,worst,bestExam,worstExam
10,11,0,799.6668054977092,400.0,1250.0,625.0,5625.0,27654.32098765432,27654.32098765432,9876.543209876543,5925.925925925926,1604.9382716049383,493.82716049382725,1481.4814814814815,2,36.29365079365079,84.28571428571428,60.0,240.0,96.66666666666667,80.31746031746032,617.1706692778123,159.6825396825397,617.1982223064587,93.33,5.0,basic02,basic02
11,12,0,1132.8613077884213,64.0,1875.0,11250.0,6250.0,11851.851851851852,11851.851851851852,17777.777777777774,1975.308641975309,740.7407407407408,2345.6790123456794,1358.0246913580243,1,37.30952380952381,56.57142857142857,155.0,146.66666666666666,120.0,110.52380952380952,1426.2660619803476,36.14285714285714,1426.2928647882607,90.0,6.67,basic02,basic04
12,13,0,599.7501041232821,720.0,1250.0,4375.0,10625.0,21728.395061728388,5925.925925925926,0.0,27654.32098765432,3580.2469135802476,864.1975308641975,246.91358024691363,2,50.817460317460316,115.71428571428572,130.0,186.66666666666666,126.66666666666667,124.12698412698414,900.4225932797361,62.53968253968252,900.4422715555444,96.67,0.0,quiz01,basic03
13,14,0,2065.805914202416,80.0,625.0,6250.0,10625.0,5925.925925925926,13827.16049382716,17777.777777777774,27654.32098765432,2222.2222222222217,1604.9382716049383,987.6543209876545,8,48.476190476190474,98.57142857142857,140.0,220.0,130.0,122.85714285714285,830.3906411049268,97.14285714285715,830.4112697886203,93.33,5.0,basic04,basic01
14,15,0,1532.6947105372758,400.0,5000.0,3750.0,11250.0,25679.012345679013,0.0,13827.16049382716,19753.086419753086,3580.2469135802476,3086.419753086419,2962.962962962963,4,58.595238095238095,115.71428571428571,160.0,200.0,260.0,178.57142857142858,1505.603930461073,21.428571428571416,1505.6209966943115,96.67,0.0,quiz01,basic02
15,16,0,2065.805914202416,112.0,11875.0,1250.0,625.0,23703.703703703704,13827.16049382716,1975.308641975309,27654.32098765432,3580.2469135802476,1111.1111111111109,740.7407407407408,6,47.198412698412696,102.57142857142857,110.0,226.66666666666663,146.66666666666669,119.74603174603175,771.7218958290384,106.92063492063488,771.7430829822249,96.67,5.0,quiz01,basic03
16,17,0,733.0279050395667,240.0,10000.0,9375.0,8750.0,21728.395061728388,1975.308641975309,25679.012345679013,15802.469135802472,1234.567901234568,2345.6790123456794,370.3703703703704,3,46.91269841269842,61.42857142857143,225.0,220.00000000000003,106.66666666666667,131.03174603174605,588.9282450353877,88.96825396825398,588.9495612255416,86.67,6.67,basic03,basic02
17,18,0,1199.5002082465642,448.0,3125.0,3750.0,8750.0,3950.617283950618,21728.395061728388,13827.16049382716,11851.851851851852,2345.6790123456794,123.45679012345681,246.91358024691363,2,46.13492063492064,107.42857142857143,125.0,173.33333333333331,73.33333333333334,101.92063492063494,1067.5182264825123,71.41269841269838,1067.5399020373034,73.33,3.33,basic02,quiz02
18,19,0,333.19450229071225,592.0,7500.0,10625.0,0.0,1975.308641975309,0.0,15802.469135802472,9876.543209876543,2098.7654320987654,2716.0493827160485,3086.419753086419,5,46.01587301587301,88.28571428571429,145.0,93.33333333333334,213.33333333333331,148.87301587301587,688.7380437023295,-55.53968253968253,688.7597753339265,85.0,0.0,basic02,basic02
19,20,0,1732.6114119117035,736.0,3750.0,6875.0,7500.0,5925.925925925926,17777.777777777774,1975.308641975309,17777.777777777774,2222.2222222222217,493.82716049382725,1111.1111111111109,9,63.18253968253968,166.28571428571428,145.0,146.66666666666669,103.33333333333333,138.2063492063492,929.7721947364805,8.460317460317498,929.7880218938728,92.0,6.67,end,basic03
20,21,0,2199.0837151187006,96.0,11250.0,10000.0,4375.0,21728.395061728388,19753.086419753086,3950.617283950618,7901.234567901236,2469.135802469136,740.7407407407408,2592.5925925925926,1,56.79365079365079,106.28571428571429,205.0,180.0,156.66666666666669,155.984126984127,704.5856352642068,24.015873015873012,704.603242866219,94.29,12.0,mid,end
21,22,0,1932.528113286131,544.0,10000.0,3125.0,11250.0,23703.703703703704,7901.234567901236,9876.543209876543,17777.777777777774,617.283950617284,1481.4814814814815,2839.5061728395067,3,66.65873015873017,150.85714285714286,195.0,200.0,133.33333333333334,159.73015873015876,860.1954751597609,40.26984126984124,860.2104769456878,90.0,16.67,basic03,quiz01
22,23,0,599.7501041232821,464.0,0.0,5625.0,6250.0,3950.617283950618,17777.777777777774,19753.086419753086,0.0,3580.2469135802476,2345.6790123456794,1111.1111111111109,9,40.261904761904766,83.71428571428572,95.0,140.0,190.0,122.90476190476191,776.7761114546828,17.095238095238088,776.8009488290176,96.67,0.0,quiz01,basic04
23,24,0,866.3057059558517,592.0,1250.0,5625.0,3750.0,27654.32098765432,27654.32098765432,23703.703703703704,27654.32098765432,2098.7654320987654,1851.8518518518513,2962.962962962963,4,51.507936507936506,111.14285714285714,85.0,359.99999999999994,186.66666666666666,127.6031746031746,932.276850133993,232.39682539682536,932.2962646178142,93.33,10.0,basic04,basic01
24,25,0,2132.444814660558,320.0,625.0,10000.0,11875.0,11851.851851851852,11851.851851851852,15802.469135802472,3950.617283950618,2098.7654320987654,2716.0493827160485,493.82716049382725,4,59.301587301587304,131.42857142857144,180.0,146.66666666666669,143.33333333333334,151.5873015873016,1521.0313337456191,-4.92063492063491,1521.0481967006513,95.0,5.0,basic03,basic01
25,26,0,2199.0837151187006,192.0,0.0,11875.0,625.0,1975.308641975309,27654.32098765432,21728.395061728388,3950.617283950618,3086.419753086419,1111.1111111111109,2592.5925925925926,1,50.34920634920634,118.28571428571429,100.0,186.66666666666666,183.33333333333331,133.87301587301587,1211.5487356558788,52.793650793650784,1211.5685969421336,95.0,0.0,basic02,basic01
26,27,0,2132.444814660558,640.0,3750.0,625.0,2500.0,11851.851851851852,7901.234567901236,27654.32098765432,0.0,123.45679012345681,2839.5061728395067,1975.308641975309,6,56.801587301587304,171.42857142857144,55.0,160.0,133.33333333333334,119.92063492063494,870.7272727272727,40.07936507936506,870.744877869092,93.33,0.0,basic03,basic04
27,28,0,1865.8892128279886,272.0,8125.0,1250.0,625.0,19753.086419753086,27654.32098765432,25679.012345679013,19753.086419753086,1234.567901234568,1234.567901234568,2592.5925925925926,1,48.88888888888889,114.0,80.0,313.33333333333337,136.66666666666669,110.22222222222223,930.3349652992508,203.11111111111114,930.3554198447054,93.33,5.0,basic02,basic03
28,29,0,1066.222407330279,656.0,7500.0,625.0,7500.0,25679.012345679013,25679.012345679013,0.0,13827.16049382716,740.7407407407408,2098.7654320987654,740.7407407407408,6,53.15079365079365,127.71428571428572,125.0,220.0,96.66666666666666,116.46031746031747,557.3739263382121,103.53968253968253,557.3927407327171,86.67,0.0,basic02,basic03
29,30,0,1266.1391087047064,272.0,4375.0,8750.0,10000.0,5925.925925925926,1975.308641975309,13827.16049382716,17777.777777777774,2222.2222222222217,246.91358024691363,1604.9382716049383,3,47.57142857142857,88.28571428571428,185.0,133.33333333333331,110.0,127.76190476190476,843.9702466845325,5.571428571428555,843.9912677055536,80.0,6.67,basic03,quiz02
30,31,0,2199.0837151187006,352.0,1250.0,3750.0,0.0,5925.925925925926,19753.086419753086,15802.469135802472,19753.086419753086,1481.4814814814815,3209.8765432098767,1604.9382716049383,3,49.404761904761905,138.28571428571428,40.0,206.66666666666669,170.0,116.09523809523809,904.8875833161546,90.5714285714286,904.90782428001,94.29,0.0,mid,basic03
31,32,0,866.3057059558517,208.0,11875.0,0.0,9375.0,5925.925925925926,3950.617283950618,7901.234567901236,17777.777777777774,493.82716049382725,2839.5061728395067,1975.308641975309,6,40.56349206349206,63.142857142857146,170.0,120.0,143.33333333333334,125.4920634920635,1196.8936130007557,-5.492063492063494,1196.9182657105973,95.0,0.0,basic01,basic02
32,33,0,2132.444814660558,432.0,8125.0,4375.0,9375.0,3950.617283950618,0.0,0.0,25679.012345679013,2345.6790123456794,0.0,864.1975308641975,7,59.24603174603175,145.42857142857144,175.0,100.0,86.66666666666667,135.6984126984127,637.4234006734006,-35.69841269841271,637.4402794409826,91.43,0.0,mid,quiz02
33,34,0,1399.4169096209912,208.0,5000.0,6250.0,4375.0,19753.086419753086,27654.32098765432,1975.308641975309,3950.617283950618,987.6543209876545,1234.567901234568,493.82716049382725,4,40.94444444444444,86.0,125.0,180.0,73.33333333333333,94.77777777777777,682.8832543118257,85.22222222222223,682.9076776496819,93.33,6.67,basic02,basic03
34,35,0,533.1112036651396,160.0,2500.0,11250.0,0.0,5925.925925925926,15802.469135802472,21728.395061728388,5925.925925925926,864.1975308641975,1851.8518518518513,1604.9382716049383,3,29.769841269841272,42.85714285714286,110.0,166.66666666666669,116.66666666666666,89.84126984126983,1379.0896035181747,76.82539682539685,1379.1231945605634,90.0,0.0,basic02,basic03
35,36,0,2265.7226155768426,784.0,0.0,3750.0,2500.0,1975.308641975309,11851.851851851852,27654.32098765432,17777.777777777774,3209.8765432098767,2839.5061728395067,740.7407407407408,6,64.89682539682539,195.14285714285714,50.0,200.0,183.33333333333334,142.82539682539684,1010.0645227788085,57.17460317460316,1010.0799318530411,98.0,0.0,end,basic01
36,37,0,1066.222407330279,752.0,0.0,5625.0,5625.0,1975.308641975309,21728.395061728388,17777.777777777774,3950.617283950618,0.0,1358.0246913580243,2962.962962962963,4,51.65079365079365,139.71428571428572,90.0,153.33333333333334,116.66666666666666,115.46031746031747,1051.9035765821482,37.87301587301587,1051.9229373688722,94.0,0.0,end,quiz01
37,38,0,1799.250312369846,768.0,3750.0,1250.0,625.0,0.0,11851.851851851852,15802.469135802472,25679.012345679013,1358.0246913580243,2716.0493827160485,2222.2222222222217,8,57.95238095238095,173.14285714285714,45.0,180.0,170.0,129.38095238095238,430.41329966329977,50.61904761904762,430.4305552097254,96.0,0.0,end,basic01
38,39,0,1399.4169096209912,544.0,6875.0,1875.0,6875.0,25679.012345679013,9876.543209876543,15802.469135802472,19753.086419753086,1851.8518518518513,2716.0493827160485,864.1975308641975,7,55.388888888888886,128.0,125.0,240.0,146.66666666666666,133.2222222222222,901.119081976225,106.7777777777778,901.1371361387124,86.67,15.0,basic01,basic02
39,40,0,266.5556018325698,736.0,6250.0,6875.0,9375.0,5925.925925925926,3950.617283950618,9876.543209876543,25679.012345679013,2716.0493827160485,2098.7654320987654,370.3703703703704,3,52.35714285714286,103.42857142857143,180.0,153.33333333333334,140.0,141.14285714285714,629.5639902425617,12.190476190476204,629.5830898332847,92.0,10.0,end,quiz03
40,41,0,1466.0558100791334,304.0,1250.0,625.0,3750.0,19753.086419753086,21728.395061728388,17777.777777777774,3950.617283950618,1111.1111111111109,123.45679012345681,1358.0246913580243,1,37.38095238095239,100.85714285714286,45.0,213.33333333333334,70.0,71.95238095238095,926.2952484023912,141.3809523809524,926.3219999947479,73.33,3.33,basic02,quiz02
41,42,0,1132.8613077884213,656.0,10625.0,7500.0,0.0,25679.012345679013,11851.851851851852,15802.469135802472,9876.543209876543,740.7407407407408,2716.0493827160485,123.45679012345681,1,55.698412698412696,130.57142857142856,145.0,213.33333333333334,96.66666666666666,124.07936507936506,856.7714388785816,89.25396825396828,856.7893927115825,86.67,0.0,basic01,basic03
42,43,0,2132.444814660558,736.0,8125.0,10625.0,8125.0,9876.543209876543,5925.925925925926,27654.32098765432,1975.308641975309,2962.962962962963,2716.0493827160485,2716.0493827160485,2,78.74603174603175,183.42857142857144,215.0,153.33333333333331,226.66666666666663,208.36507936507937,818.0505050505052,-55.03174603174605,818.0632041031156,93.33,6.67,basic03,basic04
43,44,0,466.47230320699714,512.0,1875.0,625.0,5000.0,17777.777777777774,7901.234567901236,19753.086419753086,21728.395061728388,246.91358024691363,3333.3333333333335,987.6543209876545,8,36.777777777777786,84.0,60.0,226.66666666666669,123.33333333333334,89.11111111111113,915.1667010238442,137.55555555555554,915.1938913561705,90.0,5.0,quiz02,basic02
44,45,0,666.3890045814245,96.0,6250.0,3125.0,3125.0,21728.395061728388,3950.617283950618,21728.395061728388,19753.086419753086,617.283950617284,3333.3333333333335,3333.3333333333335,7,32.36507936507937,40.57142857142857,100.0,226.66666666666669,196.66666666666669,112.41269841269842,765.1793272864702,114.25396825396827,765.2102247852441,90.0,12.0,quiz03,end
45,46,0,1132.8613077884213,784.0,4375.0,11250.0,8750.0,19753.086419753086,19753.086419753086,11851.851851851852,1975.308641975309,3086.419753086419,3580.2469135802476,2839.5061728395067,3,69.1984126984127,146.57142857142856,195.0,180.0,256.6666666666667,199.4126984126984,849.5701229986946,-19.412698412698404,849.5845741972265,98.0,6.67,end,basic04
46,47,0,999.5835068721366,112.0,6875.0,11875.0,11250.0,15802.469135802472,7901.234567901236,23703.703703703704,25679.012345679013,617.283950617284,3086.419753086419,2592.5925925925926,1,50.047619047619044,56.857142857142854,240.0,246.66666666666669,170.0,155.61904761904762,1126.1862846148558,91.04761904761907,1126.2062655853601,95.0,14.0,basic02,end
47,48,0,66.63890045814244,352.0,10625.0,11250.0,625.0,1975.308641975309,27654.32098765432,15802.469135802472,19753.086419753086,1481.4814814814815,3086.419753086419,2222.2222222222217,8,41.32539682539682,46.857142857142854,180.0,220.0,183.33333333333331,136.7301587301587,744.6127946127946,83.2698412698413,744.6369928075325,93.33,2.86,basic02,mid
48,49,0,1399.4169096209912,160.0,8125.0,6250.0,10625.0,27654.32098765432,15802.469135802472,13827.16049382716,3950.617283950618,3209.8765432098767,1604.9382716049383,3580.2469135802476,9,52.72222222222222,80.0,200.0,206.66666666666666,226.66666666666669,168.88888888888889,986.1123307909025,37.77777777777777,986.1312981249383,96.67,13.33,quiz03,basic04
49,50,0,999.5835068721366,112.0,11250.0,5000.0,10625.0,11851.851851851852,1975.308641975309,5925.925925925926,23703.703703703704,2345.6790123456794,246.91358024691363,370.3703703703704,3,42.047619047619044,56.857142857142854,215.0,146.66666666666666,80.0,117.28571428571428,1043.4092455163884,29.38095238095238,1043.4330280758447,90.0,6.67,basic01,quiz02
50,51,0,2132.444814660558,64.0,7500.0,6875.0,8750.0,0.0,0.0,3950.617283950618,17777.777777777774,1234.567901234568,3086.419753086419,1111.1111111111109,9,50.07936507936508,99.42857142857143,185.0,73.33333333333333,146.66666666666666,143.69841269841268,633.6557926200784,-70.36507936507935,633.6757609243573,91.43,0.0,mid,basic02
51,52,0,799.6668054977092,128.0,9375.0,4375.0,5625.0,3950.617283950618,13827.16049382716,27654.32098765432,17777.777777777774,493.82716049382725,1111.1111111111109,864.1975308641975,7,35.62698412698413,50.285714285714285,155.0,213.33333333333331,66.66666666666667,90.65079365079366,801.0486497629358,122.68253968253966,801.076718375099,93.33,13.33,basic03,quiz01
52,53,0,1266.1391087047064,704.0,1875.0,3750.0,6875.0,25679.012345679013,7901.234567901236,19753.086419753086,0.0,740.7407407407408,1604.9382716049383,2469.135802469136,0,54.404761904761905,142.28571428571428,100.0,180.0,130.0,124.09523809523809,641.6624750910468,55.90476190476191,641.6808558350292,88.0,0.0,end,basic04
53,54,0,1932.528113286131,752.0,3750.0,3125.0,5625.0,21728.395061728388,19753.086419753086,13827.16049382716,5925.925925925926,2839.5061728395067,2469.135802469136,3209.8765432098767,6,67.04761904761905,176.85714285714286,100.0,206.66666666666666,230.0,168.95238095238096,473.8554765340481,37.714285714285694,473.87039130677533,94.0,20.0,end,basic04
54,55,0,999.5835068721366,320.0,9375.0,10000.0,2500.0,13827.16049382716,27654.32098765432,19753.086419753086,15802.469135802472,1604.9382716049383,1975.308641975309,987.6543209876545,8,48.82539682539683,82.85714285714286,175.0,260.0,123.33333333333334,127.06349206349209,630.8833058475916,132.9365079365079,630.9037869919349,93.33,20.0,basic02,basic03
55,56,0,1999.1670137442732,144.0,10000.0,3125.0,5000.0,11851.851851851852,7901.234567901236,13827.16049382716,1975.308641975309,1234.567901234568,2716.0493827160485,2098.7654320987654,7,48.87301587301587,103.71428571428571,145.0,120.00000000000001,163.33333333333331,137.34920634920636,819.9424689067547,-17.34920634920634,819.9629300954523,85.71,6.67,mid,basic04
56,57,0,1532.6947105372758,48.0,8125.0,11875.0,1875.0,23703.703703703704,27654.32098765432,21728.395061728388,23703.703703703704,3209.8765432098767,2962.962962962963,1975.308641975309,6,50.92857142857143,71.71428571428571,175.0,326.66666666666663,220.00000000000003,155.57142857142858,795.993540850684,171.09523809523805,796.0131761943024,95.0,6.0,basic02,end
57,58,0,266.5556018325698,272.0,4375.0,8125.0,11250.0,5925.925925925926,13827.16049382716,9876.543209876543,5925.925925925926,2839.5061728395067,1975.308641975309,3580.2469135802476,9,40.91269841269842,45.42857142857143,190.0,120.0,226.66666666666669,154.03174603174605,735.7898715041572,-34.03174603174605,735.8143137931969,96.67,11.43,quiz03,mid
58,59,0,1532.6947105372758,320.0,10000.0,625.0,4375.0,19753.086419753086,15802.469135802472,21728.395061728388,21728.395061728388,493.82716049382725,2839.5061728395067,3333.3333333333335,7,51.095238095238095,105.71428571428571,120.0,266.66666666666663,180.0,135.23809523809524,525.8284202569918,131.4285714285714,525.8479915524251,90.0,5.0,quiz03,basic02
59,60,0,1932.528113286131,336.0,8125.0,1250.0,5625.0,19753.086419753086,17777.777777777774,13827.16049382716,21728.395061728388,3580.2469135802476,1358.0246913580243,1975.308641975309,6,55.6031746031746,124.85714285714286,120.0,246.66666666666669,186.66666666666669,143.84126984126985,820.4940562083418,102.82539682539684,820.5120407929835,96.67,10.0,quiz01,basic02
60,61,0,599.7501041232821,320.0,8125.0,1875.0,1250.0,27654.32098765432,5925.925925925926,7901.234567901236,27654.32098765432,1728.395061728395,1234.567901234568,2345.6790123456794,9,36.039682539682545,65.71428571428572,90.0,233.33333333333331,143.33333333333334,99.68253968253968,849.8606988249845,133.65079365079362,849.8884460172329,93.33,10.0,basic04,basic03
61,62,0,1532.6947105372758,528.0,4375.0,10000.0,1250.0,27654.32098765432,27654.32098765432,17777.777777777774,23703.703703703704,1111.1111111111109,2592.5925925925926,493.82716049382725,4,57.37301587301587,131.71428571428572,125.0,326.66666666666663,113.33333333333333,123.34920634920634,992.068216175359,203.3174603174603,992.0856459720113,93.33,10.0,basic02,basic03
62,63,0,733.0279050395667,160.0,9375.0,6250.0,2500.0,27654.32098765432,27654.32098765432,25679.012345679013,7901.234567901236,3209.8765432098767,2098.7654320987654,493.82716049382725,4,40.07936507936508,51.42857142857143,145.0,300.0,156.66666666666669,117.69841269841271,593.3359960145675,182.3015873015873,593.3609465096171,93.33,13.33,basic02,quiz03
63,64,0,1466.0558100791334,480.0,5000.0,4375.0,7500.0,19753.086419753086,5925.925925925926,25679.012345679013,19753.086419753086,2962.962962962963,123.45679012345681,2222.2222222222217,8,54.992063492063494,122.85714285714286,135.0,240.0,143.33333333333331,133.73015873015873,1020.3276987562701,106.26984126984127,1020.3458831984696,86.67,3.33,basic03,quiz02
64,65,0,999.5835068721366,272.0,11875.0,11875.0,5000.0,27654.32098765432,23703.703703703704,25679.012345679013,7901.234567901236,2222.2222222222217,1358.0246913580243,0.0,0,52.6031746031746,76.85714285714286,230.0,286.6666666666667,96.66666666666666,134.5079365079365,883.9655053940769,152.15873015873018,883.984515653582,95.0,0.0,basic02,quiz03
65,66,0,66.63890045814244,80.0,7500.0,625.0,4375.0,27654.32098765432,11851.851851851852,13827.16049382716,23703.703703703704,2222.2222222222217,1728.395061728395,2839.5061728395067,3,25.825396825396826,12.857142857142858,100.0,260.0,183.33333333333331,98.73015873015872,838.1877276162991,161.26984126984127,838.2264491897471,93.33,2.86,basic01,mid
66,67,0,399.8334027488546,656.0,8750.0,6875.0,8125.0,25679.012345679013,19753.086419753086,13827.16049382716,25679.012345679013,3086.419753086419,370.3703703703704,493.82716049382725,4,54.507936507936506,99.14285714285714,190.0,286.6666666666667,106.66666666666666,131.93650793650792,1047.01936026936,154.73015873015876,1047.0377062216023,86.67,10.0,basic04,quiz02
67,68,0,0.0,112.0,1875.0,1250.0,0.0,19753.086419753086,19753.086419753086,27654.32098765432,19753.086419753086,2469.135802469136,1728.395061728395,740.7407407407408,6,17.777777777777782,14.0,25.0,293.33333333333337,133.33333333333334,57.44444444444445,977.8867587439014,235.8888888888889,977.9430087439014,93.33,0.0,basic03,basic03
68,69,0,1199.5002082465642,224.0,1875.0,625.0,11250.0,5925.925925925926,27654.32098765432,0.0,11851.851851851852,2592.5925925925926,1234.567901234568,2222.2222222222217,8,40.13492063492063,79.42857142857143,110.0,153.33333333333331,163.33333333333334,117.58730158730161,696.7326324469182,35.746031746031704,696.7575484049961,93.33,0.0,basic02,basic03
69,70,0,799.6668054977092,160.0,1875.0,6250.0,10625.0,1975.308641975309,5925.925925925926,1975.308641975309,21728.395061728388,2098.7654320987654,617.283950617284,1851.8518518518513,5,35.34920634920635,54.285714285714285,150.0,106.66666666666666,123.33333333333333,109.2063492063492,1159.602762317048,-2.539682539682545,1159.6310514953148,85.0,6.67,basic03,basic03
70,71,0,1066.222407330279,32.0,0.0,10000.0,8750.0,27654.32098765432,9876.543209876543,23703.703703703704,15802.469135802472,1358.0246913580243,0.0,3086.419753086419,5,37.92857142857143,49.714285714285715,150.0,260.0,120.0,106.57142857142857,715.2283893355323,153.42857142857144,715.2547546839315,93.33,0.0,basic01,quiz02
71,72,0,1132.8613077884213,0.0,4375.0,5000.0,11250.0,17777.777777777774,9876.543209876543,27654.32098765432,19753.086419753086,2962.962962962963,2222.2222222222217,2592.5925925925926,1,41.976190476190474,48.57142857142857,165.0,253.33333333333337,210.0,141.19047619047618,1391.8569367140794,112.1428571428572,1391.8807597430075,93.33,0.0,basic03,end
72,73,0,2132.444814660558,48.0,3750.0,11875.0,3125.0,5925.925925925926,7901.234567901236,0.0,27654.32098765432,1481.4814814814815,2962.962962962963,0.0,0,46.85714285714286,97.42857142857143,150.0,140.0,120.0,122.47619047619048,886.7155225726657,17.52380952380952,886.7368640360803,95.0,0.0,basic02,quiz03
73,74,0,1599.3336109954184,384.0,0.0,1250.0,2500.0,3950.617283950618,1975.308641975309,19753.086419753086,25679.012345679013,2345.6790123456794,1851.8518518518513,493.82716049382725,4,40.698412698412696,116.57142857142857,30.0,173.33333333333334,126.66666666666667,91.07936507936508,901.114134542706,82.25396825396827,901.1387055255453,86.67,0.0,basic04,basic01
74,75,0,1332.778009162849,48.0,7500.0,3125.0,1875.0,21728.395061728388,23703.703703703704,21728.395061728388,23703.703703703704,246.91358024691363,1111.1111111111109,493.82716049382725,4,35.11904761904761,63.142857142857146,100.0,306.66666666666663,50.0,71.04761904761905,1036.336769051055,235.6190476190476,1036.3652436273262,80.0,6.0,basic04,end
75,76,0,2199.0837151187006,448.0,11250.0,4375.0,625.0,19753.086419753086,9876.543209876543,17777.777777777774,3950.617283950618,1604.9382716049383,3209.8765432098767,123.45679012345681,1,59.34920634920635,150.28571428571428,130.0,173.33333333333334,133.33333333333334,137.87301587301587,671.1607744107745,35.46031746031747,671.1776238357544,94.29,3.33,mid,quiz03
76,77,0,1865.8892128279886,272.0,3125.0,7500.0,1250.0,5925.925925925926,3950.617283950618,25679.012345679013,3950.617283950618,1728.395061728395,1975.308641975309,1481.4814814814815,2,46.0,114.0,95.0,133.33333333333334,140.0,116.33333333333333,814.877946127946,17.000000000000014,814.8996852583807,86.67,10.0,basic03,basic03
77,78,0,466.47230320699714,240.0,5000.0,11875.0,2500.0,15802.469135802472,0.0,17777.777777777774,3950.617283950618,370.3703703703704,2345.6790123456794,2469.135802469136,0,35.833333333333336,50.0,155.0,126.66666666666667,140.0,115.0,462.1795506081221,11.666666666666671,462.2074575848663,95.0,0.0,basic02,basic02
78,79,0,1932.528113286131,288.0,7500.0,6250.0,8750.0,9876.543209876543,9876.543209876543,7901.234567901236,11851.851851851852,1358.0246913580243,2592.5925925925926,3333.3333333333335,7,57.60317460317461,118.85714285714286,180.0,133.33333333333334,196.66666666666666,165.17460317460316,495.8047138047138,-31.84126984126982,495.8220739590263,90.0,26.67,quiz03,basic03
